thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
29,0,29,up,None,0.34581379999872297,None,,,29,0,29,0,53.077150700002676,,,,,,,,,,,,,,,,,,,,53.07090310000058,53.077150700002676,53.696473600008176,53.68852130000596,1,53.6907707000064,53.696473600008176,53.696473600008176,54.187879700009944,54.187879700009944,54.182528900011675,up,54.18257830000948,54.18259680000483,None,0.34581379999872297,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
30,0,30,down,None,0.440597600012552,None,,,30,0,30,0,54.187879700009944,,,,,,,,,,,,,,,,,,,,54.18277220000164,54.187879700009944,55.097638700011885,55.091736500005936,2,55.09438170000794,55.097638700011885,55.097638700011885,55.59108690000721,55.59108690000721,55.58447950000118,down,55.58453420001024,55.58456330001354,None,0.440597600012552,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
31,0,31,up,None,0.42785759999242146,None,,,31,0,31,0,55.59108690000721,,,,,,,,,,,,,,,,,,,,55.58473310001136,55.59108690000721,56.28633170000103,56.279256300011184,1,56.282198400003836,56.28633170000103,56.28633170000103,56.77920620000805,56.77920620000805,56.77179360001173,up,56.77184980000311,56.77187820000108,None,0.42785759999242146,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
32,0,32,down,None,0.38648279999324586,None,,,32,0,32,0,56.77920620000805,,,,,,,,,,,,,,,,,,,,56.77204840000195,56.77920620000805,57.36924550001277,57.3629792000138,2,57.36585830000695,57.36924550001277,57.36924550001277,57.8638084000122,57.8638084000122,57.85597320001398,down,57.85602520000248,57.85607430001255,None,0.38648279999324586,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
33,0,33,up,None,0.30370309999852907,0.1283955000108108,,,33,0,33,0,57.8638084000122,,,,,,,,,,,,,,,,,,,,57.85621310000715,57.8638084000122,58.62647529999958,58.62081670000043,1,58.623060600002646,58.62647529999958,58.62647529999958,59.119497500010766,59.119497500010766,59.11283600000024,up,59.11290170000575,59.11293220000516,None,0.30370309999852907,0.1283955000108108,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
34,0,34,down,None,0.4000173999957042,None,,,34,0,34,0,59.119497500010766,,,,,,,,,,,,,,,,,,,,59.11313450000307,59.119497500010766,59.995678300008876,59.98787120000634,2,59.989782500008005,59.995678300008876,59.995678300008876,60.48850710000261,60.48850710000261,60.482444400011445,down,60.482503700011875,60.48252480001247,None,0.4000173999957042,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
35,0,35,up,None,0.31688860000576824,0.10376459998951759,,,35,0,35,0,60.48850710000261,,,,,,,,,,,,,,,,,,,,60.482709100004286,60.48850710000261,61.34957150000264,61.343512400009786,1,61.34592330000305,61.34957150000264,61.34957150000264,61.842281800010824,61.842281800010824,61.83529920000001,up,61.83534520000103,61.83536350000941,None,0.31688860000576824,0.10376459998951759,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
36,0,36,up,None,0.4291286000079708,None,,,36,0,36,0,61.842281800010824,,,,,,,,,,,,,,,,,,,,61.835504300004686,61.842281800010824,62.45312570000533,62.44728390000819,1,62.449334600009024,62.45312570000533,62.45312570000533,62.94671490001201,62.94671490001201,62.939114700013306,up,62.93917140000849,62.93919980000646,None,0.4291286000079708,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
37,0,37,down,None,0.41046539999661036,None,,,37,0,37,0,62.94671490001201,,,,,,,,,,,,,,,,,,,,62.93937510000251,62.94671490001201,63.48802319999959,63.48145730000397,2,63.4838582000084,63.48802319999959,63.48802319999959,63.981062800012296,63.981062800012296,63.97466290000011,down,63.97471980001137,63.974749100001645,None,0.41046539999661036,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
38,0,38,down,None,0.43357489998743404,None,,,38,0,38,0,63.981062800012296,,,,,,,,,,,,,,,,,,,,63.974874900013674,63.981062800012296,64.74474320000445,64.73865120000846,2,64.74095260001195,64.74474320000445,64.74474320000445,65.23864090000279,65.23864090000279,65.23199700000987,down,65.23205910000252,65.23208780000277,None,0.43357489998743404,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
